2026/05/15 20:19精选更新,#genre#
三沙卫视,http://180.165.22.10:9999/rtp/239.45.1.82:5140
三沙卫视,http://180.165.22.10:9999/rtp/233.18.204.172:5140
延边卫视,http://180.165.22.10:9999/rtp/239.45.0.39:5140
北京卫视4K,http://180.165.22.10:9999/rtp/239.45.3.123:5140
北京卫视4K,http://180.165.22.10:9999/rtp/233.18.204.209:5140
江苏卫视4K,http://180.165.22.10:9999/rtp/239.45.1.109:5140
江苏卫视4K,http://180.165.22.10:9999/rtp/233.18.204.226:5140
浙江卫视4K,http://180.165.22.10:9999/rtp/233.18.204.216:514
浙江卫视4K,http://180.165.22.10:9999/rtp/233.18.204.229:5140
山东卫视4K,http://180.165.22.10:9999/rtp/239.45.3.180:5140
山东卫视4K,http://180.165.22.10:9999/rtp/233.18.204.228:5140
湖南卫视4K,http://180.165.22.10:9999/rtp/233.18.204.210:5140
湖南卫视4K,http://180.165.22.10:9999/rtp/233.18.204.227:5140
广东卫视4K,http://180.165.22.10:9999/rtp/233.18.204.218:5140
四川卫视4K,http://180.165.22.10:9999/rtp/239.45.3.48:5140
四川卫视4K,http://180.165.22.10:9999/rtp/233.18.204.225:5140
深圳卫视4K,http://180.165.22.10:9999/rtp/233.18.204.219:5140
东方卫视4K,http://180.165.22.10:9999/rtp/233.18.204.224:5140
欢笑剧场SDR,http://180.165.22.10:9999/rtp/239.45.1.4:5140
欢笑剧场SDR,http://180.165.22.10:9999/rtp/233.18.204.115:5140
纪实科教,http://180.165.22.10:9999/rtp/239.45.1.14:5140
卡酷少儿,http://180.165.22.10:9999/rtp/239.45.0.8:5140
卡酷少儿,http://180.165.22.10:9999/rtp/233.18.204.109:5140
先锋乒羽,http://180.165.22.10:9999/rtp/239.45.3.43:5140
快乐垂钓,http://180.165.22.10:9999/rtp/239.45.3.12:5140
茶频道,http://180.165.22.10:9999/rtp/239.45.3.18:5140
金鹰纪实,http://180.165.22.10:9999/rtp/239.45.1.45:5140
金鹰卡通,http://180.165.22.10:9999/rtp/239.45.0.38:5140
金鹰卡通,http://180.165.22.10:9999/rtp/233.18.204.113:5140
东方财经,http://180.165.22.10:9999/rtp/239.45.0.17:5140
法治天地,http://180.165.22.10:9999/rtp/239.45.1.46:5140
生活时尚,http://180.165.22.10:9999/rtp/239.45.3.132:5140
都市剧场,http://180.165.22.10:9999/rtp/239.45.3.136:5140
第一财经,http://180.165.22.10:9999/rtp/239.45.3.211:5140
游戏风云,http://180.165.22.10:9999/rtp/239.45.3.131:5140
